Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN,^VNINDEX
2024-04-04,18999.228515625,62547.9765625,41685.0234375,22925.921875,114344.640625,83050.65625,69473.734375,32333.83984375,14080.8017578125,22424.2421875,13597.7666015625,14980.236328125,73400.0,49586.68359375,34592.1171875,47589.1328125,8107.94775390625,19366.998046875,29502.80078125,29700.0,21053.94921875,13102.9755859375,63748.7265625,43000.0,15997.8359375,23925.0,102200.0,60330.1796875,17840.45703125,25300.0,1268.25
2024-04-05,18723.376953125,61661.47265625,41031.13671875,22686.75390625,111639.9140625,82832.109375,68962.2734375,30770.876953125,14080.8017578125,22310.60546875,13637.6435546875,14696.9970703125,71900.0,49880.09375,34592.1171875,47252.21875,8071.7509765625,19322.982421875,28836.734375,29600.0,20687.794921875,12960.5517578125,63018.2734375,42950.0,15653.0556640625,23900.0,101900.0,60064.79296875,17979.11328125,24700.0,1255.11
2024-04-08,18723.376953125,61070.46484375,41521.5546875,22891.755859375,108189.0546875,82030.7421875,68024.5859375,30966.24609375,14412.4697265625,22424.2421875,13837.0244140625,14791.41015625,71900.0,48902.05078125,34499.00390625,46578.39453125,8035.5546875,19278.966796875,28758.375,29000.0,20825.103515625,12996.158203125,63018.2734375,43000.0,15653.0556640625,23850.0,101100.0,59268.64453125,17932.89453125,23600.0,1250.35
2024-04-09,18826.822265625,60873.46484375,43074.5234375,23404.2578125,109121.71875,82322.15625,68109.8359375,31552.357421875,14442.62109375,22651.515625,14794.0517578125,15106.1201171875,73500.0,51640.56640625,34592.1171875,46325.70703125,8107.94775390625,19278.966796875,29385.26171875,29150.0,20962.412109375,13245.3984375,62619.84375,43200.0,15894.4013671875,23850.0,102200.0,59268.64453125,17886.677734375,24200.0,1262.82
2024-04-10,18688.896484375,60380.9609375,42502.375,22994.25390625,109961.1171875,82904.96875,67513.125,30917.404296875,14442.62109375,22462.12109375,14953.556640625,14980.236328125,72500.0,50858.1328125,34079.984375,46578.39453125,8107.94775390625,19366.998046875,28954.27734375,29100.0,20893.7578125,13067.369140625,62752.65625,44200.0,15790.9677734375,24250.0,102000.0,59091.7265625,17886.677734375,24250.0,1258.56
2024-04-11,18723.376953125,59395.953125,43319.7265625,23028.423828125,111826.4453125,83706.3359375,67172.15625,31161.6171875,14472.7724609375,22651.515625,14594.6708984375,14948.7646484375,71800.0,51151.54296875,33800.640625,46662.62109375,8035.5546875,19411.013671875,29110.998046875,28850.0,20642.025390625,13067.369140625,62420.62890625,44150.0,15790.9677734375,24150.0,101000.0,58914.8046875,17886.677734375,23900.0,1258.2
2024-04-12,19309.560546875,60085.4609375,43646.66796875,24531.76171875,111173.578125,84143.4375,67939.3515625,31259.302734375,14653.6826171875,22689.39453125,15591.5751953125,15515.244140625,71900.0,50858.1328125,34312.7734375,47167.9921875,8180.33984375,19895.189453125,29424.44140625,29100.0,21694.72265625,13316.6103515625,62819.0625,44500.0,16273.6611328125,24225.0,107000.0,59003.265625,18210.208984375,24150.0,1276.6
2024-04-15,18516.48828125,55948.42578125,40622.4609375,22857.587890625,103618.9921875,81302.234375,64785.32421875,29110.2265625,14171.255859375,21590.908203125,14913.6806640625,14728.466796875,66900.0,48804.25,33521.30078125,46325.70703125,8216.5361328125,19675.109375,27387.0625,27500.0,20321.640625,12462.068359375,61092.53125,42400.0,15515.142578125,23500.0,105900.0,57410.97265625,17193.392578125,22500.0,1216.61
2024-04-16,18723.376953125,54766.41796875,41112.87109375,23267.58984375,105857.390625,82322.15625,64785.32421875,29647.494140625,14171.255859375,21477.2734375,15511.8212890625,15043.1787109375,66100.0,48804.25,33474.7421875,46157.25,8325.125,19499.046875,27582.96484375,27300.0,20825.103515625,12533.2802734375,60428.484375,42700.0,15549.6201171875,23200.0,106000.0,56614.828125,17332.05078125,22200.0,1215.68
2024-04-17,18447.52734375,53485.91015625,39314.69921875,22345.0859375,103618.9921875,81447.9296875,64018.125,27986.84375,13869.7412109375,21212.12109375,16030.212890625,14539.6416015625,66800.0,48315.2265625,32869.49609375,45483.421875,8035.5546875,19543.0625,26956.078125,26800.0,20527.6015625,12106.009765625,60096.45703125,41800.0,15418.3642578125,22500.0,103400.0,56791.75,16777.42578125,22000.0,1193.01
