Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN
2024-10-17,21715.646484375,66488.0078125,41112.87109375,24975.9296875,106883.328125,115823.0625,67238.2265625,35166.71484375,17092.0390625,22708.333984375,25600.48828125,16853.388671875,81000.0,64866.6640625,40879.73046875,49899.0,8255.2802734375,16750.0,26768.013671875,34600.0,23721.61328125,15834.060546875,61225.34375,45100.0,16235.537109375,20775.0,105300.0,61879.0234375,20347.08984375,18750.0
2024-10-18,21674.125,66488.0078125,41112.87109375,24770.927734375,106323.7265625,115823.0625,67426.3046875,35020.1875,17349.0625,22458.333984375,25799.869140625,16755.783203125,80400.0,64768.08203125,40976.484375,49986.08203125,8293.5,16700.0,26670.498046875,35550.0,23819.033203125,15745.6015625,61358.1484375,45250.0,16361.39453125,20900.0,106500.0,61695.94921875,20006.349609375,18750.0
2024-10-21,21424.998046875,65503.0,40581.59375,24258.427734375,105391.0625,114554.9140625,67426.3046875,34385.23046875,17316.935546875,22291.666015625,25680.240234375,16625.640625,80200.0,64866.6640625,40250.8125,49289.40625,8255.2802734375,16700.0,26231.677734375,35250.0,23526.775390625,15480.2255859375,61092.53125,47800.0,16109.6806640625,21125.0,105600.0,61604.41015625,20103.703125,19100.0
2024-10-22,21092.828125,64025.48828125,39845.9765625,23916.759765625,103618.9921875,112525.8984375,66956.109375,32968.796875,17349.0625,22208.333984375,25281.478515625,16430.427734375,78900.0,65359.57421875,40444.32421875,48766.90625,8178.8427734375,16700.0,26036.646484375,35000.0,23575.484375,15303.310546875,60694.1015625,48250.0,15732.1103515625,21100.0,104200.0,61604.41015625,20055.025390625,18600.0
2024-10-23,21092.828125,64616.4921875,39559.90234375,23950.92578125,103525.7265625,113455.859375,66673.9921875,32724.580078125,17316.935546875,22041.666015625,25401.107421875,16430.427734375,79400.0,64768.08203125,40928.109375,48766.90625,8140.62451171875,16650.0,26231.677734375,35800.0,23575.484375,15612.9140625,60760.50390625,47000.0,15690.15625,21600.0,104400.0,61604.41015625,19908.994140625,18650.0
2024-10-24,20760.65625,64813.49609375,39232.9609375,23814.2578125,103059.3984375,113540.40625,66768.03125,32138.470703125,17284.806640625,22041.666015625,25361.232421875,16072.537109375,78500.0,64472.33984375,40395.9453125,48679.82421875,8064.1865234375,16650.0,26134.162109375,33400.0,23039.677734375,15082.1640625,60893.31640625,43850.0,15522.3486328125,21025.0,104200.0,62611.3203125,19470.8984375,18150.0
2024-10-25,20677.61328125,64616.4921875,38824.28515625,23643.42578125,101753.671875,113286.7890625,66673.9921875,31503.515625,17284.806640625,22041.666015625,25600.48828125,16040.0009765625,77200.0,64570.921875,40202.43359375,48331.48828125,7949.52978515625,16650.0,26036.646484375,33450.0,22893.548828125,15082.1640625,60959.72265625,43850.0,15312.5859375,20775.0,104200.0,62245.1640625,19568.25390625,18150.0
2024-10-28,20885.220703125,64419.4921875,38824.28515625,23711.7578125,103059.3984375,114047.6640625,66485.90625,31747.728515625,17124.16796875,22291.666015625,25680.240234375,16137.6083984375,77900.0,64570.921875,40637.8359375,48331.48828125,7987.748046875,16650.0,26134.162109375,33750.0,23039.677734375,15214.8505859375,61092.53125,42700.0,15312.5859375,20725.0,103600.0,61512.87109375,19568.25390625,18100.0
2024-10-29,20926.7421875,65798.5,38865.15234375,23882.591796875,104644.921875,114470.3828125,66579.953125,32187.3125,17541.830078125,22541.666015625,25759.9921875,16267.7509765625,78000.0,65556.734375,40541.08203125,48244.40625,8025.96728515625,16600.0,26036.646484375,34050.0,23137.09765625,15126.392578125,61092.53125,42750.0,15732.1103515625,20675.0,103900.0,61329.80078125,19714.28515625,18150.0
2024-10-30,20843.701171875,,38987.7578125,23745.92578125,,114893.0859375,66391.875,,17477.57421875,22500.0,25959.373046875,16267.7509765625,,,,,8025.96728515625,,,,,15259.0810546875,60893.31640625,,15941.8701171875,20500.0,,,,
